"Date";"Player";"Bet";"Chance";"Result";"Paid_ETH";"Paid_USD";"ID"
"2017-12-12 04:16:00";"Legend #4180";0.33;55;"lost";"-";"-";1
"2017-12-12 04:14:29";"Legend #5650";1.0;73;"lost";"-";"-";2
"2017-12-12 04:14:03";"Professional #5753";0.1;26;"pending";"-";"-";3
"2017-12-12 04:13:54";"Legend #4604";0.1;51;"won";"0.198 Eth";"$ 152.46";4
"2017-12-12 04:10:46";"Intermediate #5824";2.0;66;"won";"3.046 Eth";"$ 2,345.57";5
"2017-12-12 04:08:41";"Legend #4180";1.0;76;"won";"1.320 Eth";"$ 1,016.41";6
"2017-12-12 04:03:34";"Professional #5753";0.1;66;"lost";"-";"-";7
"2017-12-12 04:03:12";"Intermediate #5824";2.0;51;"lost";"-";"-";8
"2017-12-12 04:00:43";"Legend #4180";0.81;80;"won";"1.015 Eth";"$ 781.61";9
"2017-12-12 03:57:33";"Intermediate #5824";1.5;65;"lost";"-";"-";10
"2017-12-12 03:56:49";"Intermediate #5824";1.0;46;"pending";"-";"-";11
"2017-12-12 03:55:47";"Legend #5650";1.0;81;"won";"1.238 Eth";"$ 952.89";12
"2017-12-12 03:54:39";"Intermediate #5824";1.0;63;"won";"1.597 Eth";"$ 1,229.53";13
"2017-12-12 03:53:19";"Intermediate #5824";1.0;47;"lost";"-";"-";14
"2017-12-12 03:52:39";"Intermediate #5824";2.0;46;"won";"4.400 Eth";"$ 3,388.04";15
"2017-12-12 03:50:23";"Intermediate #5824";1.0;61;"lost";"-";"-";16
"2017-12-12 03:49:52";"Intermediate #5824";1.0;44;"lost";"-";"-";17
"2017-12-12 03:49:34";"Intermediate #5824";1.0;70;"won";"1.435 Eth";"$ 1,104.80";18
"2017-12-12 03:46:52";"Intermediate #5824";1.0;47;"won";"2.152 Eth";"$ 1,657.20";19
"2017-12-12 03:46:52";"Intermediate #3257";0.1;51;"won";"0.198 Eth";"$ 152.46";20
"2017-12-12 03:46:13";"Intermediate #5824";1.0;68;"won";"1.478 Eth";"$ 1,137.78";21
"2017-12-12 03:45:14";"Legend #4523";0.33;69;"won";"0.480 Eth";"$ 369.94";22
"2017-12-12 03:44:30";"Intermediate #5824";1.0;45;"won";"2.250 Eth";"$ 1,732.52";23
"2017-12-12 03:44:24";"Intermediate #5824";2.0;64;"won";"3.143 Eth";"$ 2,420.03";24
"2017-12-12 03:44:24";"Intermediate #3257";0.1;51;"lost";"-";"-";25
"2017-12-12 03:41:14";"Legend #3758";0.8;51;"won";"1.584 Eth";"$ 1,219.70";26
"2017-12-12 03:40:50";"Intermediate #5824";1.0;48;"lost";"-";"-";27
"2017-12-12 03:31:58";"Legend #4180";0.67;83;"won";"0.809 Eth";"$ 622.86";28
"2017-12-12 03:28:38";"Legend #4180";0.4;59;"won";"0.683 Eth";"$ 525.73";29
"2017-12-12 03:26:26";"Legend #3758";0.4;51;"lost";"-";"-";30
"2017-12-12 03:26:14";"Legend #5650";0.5;83;"won";"0.604 Eth";"$ 464.82";31
"2017-12-12 03:17:54";"Legend #5650";0.5;77;"won";"0.651 Eth";"$ 501.52";32
"2017-12-12 03:09:05";"One in a million #4664";0.5;76;"won";"0.660 Eth";"$ 508.21";33
"2017-12-12 03:06:30";"One in a million #4664";0.5;75;"won";"0.669 Eth";"$ 515.07";34
